序号,0,emoji,times,happy,boost,chill,loved,adventure,free
0,哈哈,haha,37822,5,4,0,2,1,3
1,泪,tear,37117,-4,-4,-1,-2,0,-1
2,嘻嘻,laugh,26623,4,4,1,2,1,3
3,爱你,love_you,23163,4,4,1,5,1,1
4,馋嘴,gourmet,20303,3,3,1,0,3,3
5,偷笑,titter,19800,2,2,1,2,3,2
6,抓狂,geting_crazy,13990,-2,-3,-5,0,2,0
7,汗,sweat,12801,-1,-3,-3,0,-3,-2
8,晕,dizzy,9765,0,-2,-2,0,1,-1
9,鼓掌,applaud,9162,2,4,0,1,3,3
10,怒,angry,8942,-5,-3,-5,-5,2,-3
11,雪,snow,8930,2,2,2,0,4,0
12,酷,cool,7526,3,4,3,1,3,4
13,挖鼻屎,dig_out_nose,7056,1,1,4,0,0,1
14,哼,hum,5741,-3,-2,-4,-2,-2,-3
15,太开心,too_happy,5446,5,5,3,4,5,5
16,心,heart,5378,5,5,2,5,0,3
17,睡觉,sleep,5177,0,-3,2,0,-2,0
18,兔子,rabbit,5158,2,1,3,2,0,1
19,衰,bad_luck,4761,-4,-4,-3,-1,1,0
20,生病,sick,4665,-5,-5,-3,-1,0,-2
21,打哈气,yawn4304,-1,-3,3,0,-4,4,4
22,花心,polygamous,4092,3,4,4,5,3,2
23,奥特曼,ultraman,4004,0,3,2,0,3,0
24,可爱,lovely,3825,4,3,3,4,2,1
25,给力,awesome,3677,3,5,4,0,2,1
26,围观,onlooker,3298,0,1,1,3,0,4
27,雪人,snowman,3266,3,3,2,0,3,2
28,熊猫,panda,2989,0,1,3,0,0,1
29,委屈,chagrin,2616,-3,-4,-3,-2,0,-1
30,浮云,clouds,2558,-1,-2,0,0,1,4
31,思考,thinking,2505,1,1,4,0,2,-2
32,威武,force,2498,3,3,-2,1,5,2
33,害羞,shy,2468,4,3,-3,4,1,-2
34,耶,yeah,2456,5,5,0,5,2,5
35,蛋糕,cake,2407,5,5,-2,3,0,4
36,呵呵,hoho,2094,-3,-5,3,-5,-5,-5
37,月亮,moon,2077,3,0,2,1,1,3
38,太阳,sun,2031,3,2,0,3,1,3
39,手套,glove,2005,2,1,3,4,0,1
40,good,good,1970,5,5,0,3,0,3
41,悲伤,sad,1878,-5,-5,1,-5,-5,-5
42,亲亲,kiss,1781,5,5,0,5,1,3
43,干杯,cheers,1697,5,5,3,2,1,4
44,吃惊,shocking,1650,2,4,-2,1,2,0
45,鄙视,disdain,1643,-5,1,-3,-5,-5,-5
46,可怜,pity,1623,-5,-5,1,2,-1,-3
47,失望,disappoint,1604,-5,-3,5,-5,-5,-5
48,黑线,black_line,1591,-3,0,2,-3,1,-4
49,做鬼脸,make_a_face,1481,4,2,-1,2,1,3
50,咖啡,cafe,1444,2,2,4,1,0,1
51,困,tired,1327,-3,-5,0,-2,-5,2
52,赞,like,1314,4,2,3,1,2,3
53,话筒,mic,1162,3,2,2,0,1,4
54,猪头,pig_head,1152,4,4,-1,4,1,2
55,礼物,gift,1150,5,5,-2,5,-3,5
56,围脖,neckerchief,1090,3,2,1,3,-2,3
57,感冒,bad_cold,1043,-5,-5,-1,0,-5,-5
58,疑问,question,1018,-2,2,0,-5,4,-2
59,神马,what,909,2,4,-1,0,1,1
60,淚,tears,872,-5,3,-5,0,-2,5
61,汽车,car,811,3,4,-2,0,2,1
62,书呆子,bookworm,805,-2,-3,2,-3,-4,0
63,蜡烛,candle,760,-5,-2,5,0,-5,-5
64,吐,vomit,746,2,2,4,1,-3,2
65,温暖帽子,warm_hat,693,3,1,3,3,-2,3
66,钱,money,653,5,5,-3,1,1,5
67,喜,marriage,652,5,5,0,2,-2,5
68,怒骂,scold,648,-5,5,-5,-5,0,-5
69,飞机,plane,635,5,3,0,1,4,3
70,囧,awkward,595,-3,-4,1,-2,1,-5
71,右哼哼,right_hum,558,0,2,-1,1,0,-2
72,伤心,brokenheart,541,-5,2,-3,-3,-5,-4
73,爱心传递,pass_down_heart,538,4,2,3,5,2,3
74,闭嘴,shut_up,538,-5,5,-5,0,1,-3
75,音乐,music,534,4,2,3,3,0,4
76,鲜花,flower,486,5,5,-5,5,2,4
77,愛你,love,453,5,5,-5,5,3,2
78,微风,breeze,438,2,-1,3,-2,0,3
79,下雨,rain,412,-5,-3,1,-1,-2,-1
80,左哼哼,left_hum,405,0,2,-1,1,0,-2
81,haha,laugh_haha,395,5,5,-3,1,1,3
82,落叶,fallen_leaves,394,-2,-3,3,0,1,0
83,萌,lovely_meng,394,5,3,3,4,1,3
84,嘘,hush,391,-3,1,1,0,2,-2
85,抱抱,hug,386,-2,1,3,4,0,-2
86,照相机,camera,362,2,3,1,2,3,2
87,阴险,bad_face,358,0,2,-2,0,2,-1
88,饞嘴,gluttonous,352,3,3,2,1,2,3
89,电影,movie,330,3,3,1,2,1,3
90,懒得理你,you_make_me_sick,328,-5,0,3,0,1,0
91,愤怒,anger,317,-5,3,-3,-3,2,-3
92,帅,handsome,297,5,5,-3,4,2,3
93,钟,clock,280,1,1,3,0,1,0
94,顶,up,277,-4,-3,-4,-2,2,-2
95,拳头,fist,261,3,4,-3,0,3,1
96,暈,dizzy_head,232,-3,-4,-2,-3,0,-2
97,弱,weak,228,-2,-4,-1,-4,3,-2
98,男孩儿,boy,214,4,5,-4,5,3,2
99,ok,ok,198,3,3,2,0,1,2
100,来,come,192,4,3,-3,2,2,3
101,拜拜,byebye,179,-1,1,3,0,0,1
102,女孩儿,girl,157,4,5,-4,5,3,2
103,握手,shake_hand,136,2,3,1,0,1,2
104,实习,intership,131,1,2,3,0,2,-1
105,织,weaving,122,1,0,2,1,1,0
106,太開心,happy,121,5,5,-2,1,2,3
107,不要,don't,112,-4,3,-3,0,0,-2
108,手机,cellphone,101,2,1,2,0,0,1
109,可愛,lovely2,97,4,5,-1,3,1,1
110,自行车,bike,96,1,2,0,0,3,3
111,睡覺,sleep,89,2,-1,3,1,0,3
112,打哈氣,yawning,89,0,-3,2,0,-2,0
113,足球,football,82,3,4,-3,2,2,2
114,沙尘暴,sandstorm,79,-5,0,-2,0,2,-3
115,呲牙,bare_teeth,73,5,3,-1,2,0,3
116,給力,awesome2,71,5,5,-3,2,0,2
117,最差,worst,70,-5,0,-3,-5,0,-3
118,风扇,fan,61,0,0,1,0,0,2
119,圣诞树,chrismas_tree,60,5,5,-3,4,1,3
120,奧特曼,ultre_man,55,2,3,-2,3,1,0
121,圍觀,watch,54,1,0,-1,0,2,3
