,0,1
0,哈哈,37822
1,泪,37117
2,嘻嘻,26623
3,爱你,23163
4,馋嘴,20303
5,偷笑,19800
6,抓狂,13990
7,汗,12801
8,晕,9765
9,鼓掌,9162
10,怒,8942
11,雪,8930
12,酷,7526
13,挖鼻屎,7056
14,哼,5741
15,太开心,5446
16,心,5378
17,睡觉,5177
18,兔子,5158
19,衰,4761
20,生病,4665
21,打哈气,4304
22,花心,4092
23,奥特曼,4004
24,可爱,3825
25,给力,3677
26,围观,3298
27,雪人,3266
28,熊猫,2989
29,委屈,2616
30,浮云,2558
31,思考,2505
32,威武,2498
33,害羞,2468
34,耶,2456
35,蛋糕,2407
36,呵呵,2094
37,月亮,2077
38,太阳,2031
39,手套,2005
40,good,1970
41,悲伤,1878
42,亲亲,1781
43,干杯,1697
44,吃惊,1650
45,鄙视,1643
46,可怜,1623
47,失望,1604
48,黑线,1591
49,做鬼脸,1481
50,咖啡,1444
51,困,1327
52,赞,1314
53,话筒,1162
54,猪头,1152
55,礼物,1150
56,围脖,1090
57,感冒,1043
58,疑问,1018
59,神马,909
60,淚,872
61,汽车,811
62,书呆子,805
63,蜡烛,760
64,吐,746
65,温暖帽子,693
66,钱,653
67,喜,652
68,怒骂,648
69,飞机,635
70,囧,595
71,右哼哼,558
72,伤心,541
73,爱心传递,538
74,闭嘴,538
75,音乐,534
76,鲜花,486
77,愛你,453
78,微风,438
79,下雨,412
80,左哼哼,405
81,haha,395
82,落叶,394
83,萌,394
84,嘘,391
85,抱抱,386
86,照相机,362
87,阴险,358
88,饞嘴,352
89,电影,330
90,懒得理你,328
91,愤怒,317
92,帅,297
93,钟,280
94,顶,277
95,拳头,261
96,暈,232
97,弱,228
98,男孩儿,214
99,ok,198
100,来,192
101,拜拜,179
102,女孩儿,157
103,握手,136
104,实习,131
105,织,122
106,太開心,121
107,不要,112
108,手机,101
109,可愛,97
110,自行车,96
111,睡覺,89
112,打哈氣,89
113,足球,82
114,沙尘暴,79
115,呲牙,73
116,給力,71
117,最差,70
118,风扇,61
119,圣诞树,60
120,奧特曼,55
121,圍觀,54
