,0,1
0,haha,37822
1,tear,37117
2,laugh,26623
3,love_you,23163
4,gourmet,20303
5,titter,19800
6,geting_crazy,13990
7,sweat,12801
8,dizzy,9765
9,applaud,9162
10,angry,8942
11,snow,8930
12,cool,7526
13,dig_out_nose,7056
14,hum,5741
15,too_happy,5446
16,heart,5378
17,sleep,5177
18,rabbit,5158
19,bad_luck,4761
20,sick,4665
21,yawn,4304
22,polygamous,4092
23,ultraman,4004
24,lovely,3825
25,awesome,3677
26,onlooker,3298
27,snowman,3266
28,panda,2989
29,chagrin,2616
30,clouds,2558
31,thinking,2505
32,force,2498
33,shy,2468
34,yeah,2456
35,cake,2407
36,hoho,2094
37,moon,2077
38,sun,2031
39,glove,2005
40,good,1970
41,sad,1878
42,kiss,1781
43,cheers,1697
44,shocking,1650
45,disdain,1643
46,pity,1623
47,disappoint,1604
48,black_line,1591
49,make_a_face,1481
50,cafe,1444
51,tired,1327
52,like,1314
53,mic,1162
54,pig_head,1152
55,gift,1150
56,neckerchief,1090
57,bad_cold,1043
58,question,1018
59,what,909
60,tears,872
61,car,811
62,bookworm,805
63,candle,760
64,vomit,746
65,warm_hat,693
66,money,653
67,marriage,652
68,scold,648
69,plane,635
70,awkward,595
71,right_hum,558
72,brokenheart,541
73,pass_down_heart,538
74,shut_up,538
75,music,534
76,flower,486
77,love,453
78,breeze,438
79,rain,412
80,left_hum,405
81,laugh_haha,395
82,fallen_leaves,394
83,lovely_meng,394
84,hush,391
85,hug,386
86,camera,362
87,bad_face,358
88,gluttonous,352
89,movie,330
90,you_make_me_sick,328
91,anger,317
92,handsome,297
93,clock,280
94,up,277
95,fist,261
96,dizzy_head,232
97,weak,228
98,boy,214
99,ok,198
100,come,192
101,byebye,179
102,girl,157
103,shake_hand,136
104,intership,131
105,weaving,122
106,happy,121
107,don't,112
108,cellphone,101
109,lovely2,97
110,bike,96
111,sleep,89
112,yawning,89
113,football,82
114,sandstorm,79
115,bare_teeth,73
116,awesome2,71
117,worst,70
118,fan,61
119,chrismas_tree,60
120,ultre_man,55
121,watch,54
