,0,1,2,3,4,5
2214,209.0,215.0,71.0,160.0,142.0,163.0
25498,5.0,4.0,0.0,2.0,1.0,3.0
53220,-4.0,-31.0,-42.0,3.0,12.0,-3.0
53214,-11.0,-12.0,-5.0,3.0,-13.0,-11.0
21408,124.0,114.0,35.0,106.0,60.0,87.0
49448,26.0,34.0,22.0,12.0,45.0,27.0
53208,-11.0,-11.0,-20.0,10.0,24.0,9.0
12820,114.0,128.0,-100.0,16.0,223.0,125.0
53210,59.0,49.0,3.0,23.0,26.0,42.0
21445,52.0,56.0,27.0,26.0,29.0,34.0
53209,-10.0,-13.0,-16.0,-2.0,6.0,-1.0
49447,2.0,97.0,-124.0,40.0,117.0,107.0
53218,-5.0,2.0,-19.0,-18.0,54.0,29.0
12641,97.0,72.0,-5.0,47.0,32.0,73.0
21442,139.0,134.0,-49.0,93.0,102.0,136.0
53787,-12.0,-14.0,-9.0,-9.0,13.0,9.0
32355,10.0,30.0,23.0,-11.0,61.0,24.0
53801,8.0,2.0,-10.0,5.0,6.0,6.0
23682,-15.0,-9.0,-15.0,-15.0,6.0,-9.0
53234,-7.0,-13.0,-6.0,-2.0,3.0,-5.0
23685,10.0,11.0,1.0,6.0,10.0,12.0
23724,19.0,32.0,-14.0,16.0,73.0,55.0
13461,15.0,16.0,11.0,27.0,16.0,30.0
23695,-451.0,-424.0,-294.0,-187.0,63.0,-129.0
53699,239.0,133.0,11.0,102.0,292.0,268.0
23687,27.0,19.0,-21.0,20.0,12.0,26.0
23664,206.0,231.0,-97.0,117.0,26.0,172.0
32339,7.0,-11.0,-54.0,5.0,27.0,27.0
37781,-2.0,-3.0,2.0,0.0,0.0,0.0
53797,103.0,92.0,25.0,33.0,72.0,74.0
21422,38.0,36.0,6.0,19.0,8.0,27.0
49684,49.0,35.0,6.0,21.0,37.0,18.0
49451,64.0,76.0,-19.0,74.0,112.0,75.0
23702,211.0,154.0,22.0,135.0,127.0,156.0
14523,4.0,4.0,1.0,5.0,1.0,1.0
37762,-17.0,-44.0,-9.0,15.0,43.0,63.0
13361,39.0,76.0,1.0,12.0,63.0,24.0
32328,-2.0,-2.0,7.0,2.0,3.0,1.0
21428,18.0,24.0,13.0,9.0,11.0,20.0
53782,-7.0,5.0,23.0,7.0,-17.0,-14.0
33815,-4.0,7.0,-15.0,10.0,36.0,8.0
53260,-12.0,16.0,-32.0,-5.0,54.0,21.0
53465,21.0,15.0,-47.0,45.0,66.0,63.0
13360,-13.0,-13.0,-11.0,-13.0,7.0,-13.0
33106,37.0,32.0,-6.0,34.0,50.0,36.0
53371,4.0,2.0,6.0,4.0,0.0,2.0
53226,0.0,12.0,2.0,-8.0,14.0,14.0
33804,23.0,24.0,-25.0,14.0,31.0,7.0
23655,110.0,271.0,-20.0,100.0,481.0,280.0
53701,-12.0,-12.0,-3.0,-6.0,0.0,-3.0
33803,137.0,149.0,29.0,71.0,48.0,101.0
51121,1.0,51.0,-17.0,-3.0,20.0,2.0
13423,45.0,28.0,5.0,48.0,24.0,22.0
51362,-28.0,-18.0,-17.0,-16.0,8.0,-9.0
12360,74.0,71.0,22.0,53.0,45.0,47.0
53266,155.0,173.0,52.0,96.0,92.0,95.0
13411,33.0,32.0,6.0,25.0,32.0,29.0
53223,47.0,45.0,0.0,17.0,16.0,38.0
49450,3.0,-4.0,0.0,7.0,7.0,24.0
47499,-9.0,-7.0,10.0,-2.0,8.0,-8.0
53308,61.0,111.0,-52.0,-15.0,134.0,79.0
53270,15.0,20.0,26.0,8.0,28.0,1.0
21845,85.0,222.0,-290.0,310.0,615.0,339.0
53274,70.0,48.0,6.0,26.0,73.0,103.0
13424,165.0,144.0,10.0,123.0,85.0,108.0
53375,20.0,-6.0,-1.0,21.0,31.0,20.0
23742,26.0,53.0,-39.0,65.0,132.0,68.0
49679,-35.0,-24.0,-29.0,-10.0,31.0,-10.0
53651,125.0,126.0,20.0,121.0,67.0,85.0
37795,-19.0,57.0,18.0,104.0,96.0,24.0
13577,-211.0,-233.0,-56.0,-104.0,21.0,-33.0
21529,59.0,62.0,-21.0,101.0,110.0,125.0
892,1.0,9.0,-6.0,-5.0,-2.0,3.0
33797,17.0,7.0,-10.0,36.0,73.0,67.0
53340,-18.0,-12.0,-102.0,-4.0,196.0,113.0
23706,-1.0,-1.0,0.0,-2.0,3.0,2.0
48856,15.0,15.0,18.0,12.0,18.0,15.0
33726,224.0,168.0,60.0,127.0,189.0,125.0
51127,48.0,71.0,15.0,25.0,55.0,45.0
33801,26.0,14.0,8.0,22.0,12.0,17.0
53472,3.0,18.0,9.0,-5.0,17.0,20.0
32351,-55.0,-68.0,-80.0,-41.0,97.0,-6.0
1968,-62.0,15.0,-95.0,-6.0,84.0,55.0
47592,51.0,50.0,19.0,49.0,12.0,33.0
53755,-15.0,49.0,26.0,-28.0,37.0,-11.0
36490,11.0,5.0,-5.0,8.0,3.0,7.0
32358,18.0,13.0,-4.0,34.0,13.0,19.0
2953,-19.0,-36.0,-8.0,-1.0,22.0,21.0
13433,182.0,170.0,-30.0,64.0,225.0,189.0
49471,-3.0,-18.0,-48.0,15.0,34.0,40.0
36459,55.0,103.0,-20.0,21.0,50.0,15.0
13409,12.0,12.0,1.0,7.0,9.0,12.0
53816,-7.0,-22.0,4.0,19.0,27.0,23.0
53808,19.0,-2.0,1.0,24.0,20.0,15.0
49691,207.0,204.0,-29.0,71.0,369.0,111.0
13465,200.0,232.0,84.0,128.0,284.0,29.0
53244,-40.0,-16.0,-22.0,-28.0,10.0,-8.0
33228,-12.0,-5.0,8.0,-12.0,-5.0,-10.0
50644,-6.0,5.0,-12.0,-8.0,-11.0,-7.0
53363,-24.0,-24.0,-6.0,-12.0,0.0,-6.0
13370,-15.0,-12.0,-29.0,-3.0,6.0,8.0
53789,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
49696,33.0,40.0,-2.0,30.0,33.0,59.0
53298,-80.0,-40.0,-81.0,-56.0,-1.0,-48.0
13471,-33.0,-15.0,8.0,-5.0,-15.0,-24.0
53702,261.0,251.0,62.0,183.0,148.0,216.0
37750,-14.0,-16.0,-3.0,-1.0,41.0,47.0
53799,217.0,357.0,65.0,198.0,446.0,306.0
37749,1.0,-17.0,11.0,-6.0,-10.0,-9.0
23644,72.0,124.0,-200.0,37.0,450.0,295.0
49472,30.0,26.0,18.0,25.0,12.0,15.0
50945,-6.0,1.0,-12.0,11.0,19.0,2.0
53730,5.0,1.0,10.0,-1.0,37.0,9.0
13435,5.0,-69.0,-66.0,19.0,-22.0,-11.0
23774,184.0,150.0,47.0,112.0,143.0,161.0
10672,27.0,26.0,17.0,21.0,22.0,19.0
53655,0.0,0.0,0.0,0.0,1.0,2.0
21599,2.0,14.0,2.0,-4.0,10.0,14.0
35946,24.0,24.0,6.0,30.0,6.0,6.0
51122,-40.0,-40.0,-10.0,-20.0,0.0,-10.0
50514,-36.0,-74.0,-90.0,56.0,102.0,52.0
51125,104.0,93.0,-5.0,69.0,101.0,83.0
50624,78.0,111.0,-64.0,82.0,95.0,58.0
13470,25.0,5.0,-35.0,69.0,17.0,120.0
21787,-69.0,-33.0,12.0,-61.0,0.0,-45.0
13457,36.0,26.0,24.0,31.0,13.0,58.0
2654,143.0,126.0,35.0,71.0,56.0,73.0
13408,128.0,172.0,58.0,111.0,191.0,134.0
36534,-23.0,8.0,-133.0,-33.0,75.0,11.0
23766,65.0,40.0,32.0,64.0,73.0,45.0
53264,99.0,76.0,-13.0,71.0,40.0,63.0
50752,28.0,34.0,-61.0,28.0,110.0,68.0
33786,-13.0,-17.0,-132.0,-9.0,110.0,10.0
49449,-18.0,-27.0,12.0,-4.0,32.0,13.0
13407,14.0,9.0,5.0,10.0,15.0,11.0
21600,-33.0,-39.0,-19.0,-23.0,54.0,-1.0
943,80.0,316.0,533.0,271.0,-70.0,-35.0
37786,6.0,-7.0,-21.0,-2.0,29.0,9.0
21808,16.0,14.0,-7.0,12.0,9.0,11.0
53357,-51.0,43.0,-233.0,30.0,304.0,89.0
51107,114.0,100.0,18.0,78.0,118.0,118.0
47798,-5.0,10.0,-96.0,32.0,66.0,42.0
53773,42.0,68.0,-38.0,57.0,84.0,69.0
50516,142.0,110.0,28.0,90.0,52.0,95.0
21790,133.0,121.0,40.0,159.0,7.0,55.0
13412,9.0,17.0,-3.0,-1.0,12.0,18.0
53692,55.0,60.0,-45.0,12.0,86.0,67.0
52956,-8.0,15.0,-71.0,10.0,-14.0,15.0
33766,58.0,50.0,1.0,43.0,14.0,50.0
53373,88.0,101.0,30.0,13.0,106.0,51.0
34038,25.0,24.0,2.0,11.0,24.0,16.0
3004,51.0,69.0,-48.0,54.0,64.0,65.0
41023,-1.0,1.0,-12.0,-10.0,10.0,0.0
13456,-23.0,-17.0,-23.0,-13.0,5.0,-18.0
53280,124.0,160.0,-25.0,146.0,83.0,58.0
32361,51.0,78.0,29.0,61.0,34.0,57.0
50649,28.0,17.0,-7.0,21.0,6.0,25.0
53326,7.0,6.0,-45.0,15.0,114.0,42.0
53369,-10.0,2.0,-6.0,-10.0,-10.0,-10.0
13403,188.0,199.0,57.0,155.0,138.0,123.0
8056,-25.0,-25.0,-6.0,-14.0,-4.0,-9.0
53325,22.0,13.0,-28.0,18.0,27.0,47.0
53756,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
33823,-8.0,-13.0,-23.0,0.0,4.0,-5.0
23729,-4.0,-4.0,-3.0,-1.0,1.0,0.0
53222,-5.0,-7.0,-8.0,3.0,0.0,-1.0
34425,-412.0,-346.0,-156.0,-151.0,-80.0,-189.0
21479,82.0,110.0,-3.0,36.0,112.0,100.0
36495,-88.0,-3.0,-83.0,-35.0,28.0,-35.0
35114,-154.0,-174.0,-191.0,-75.0,77.0,-52.0
35613,-67.0,66.0,-187.0,-53.0,190.0,69.0
21598,9.0,9.0,4.0,6.0,6.0,8.0
51130,-2.0,34.0,-51.0,18.0,58.0,47.0
53353,-5.0,-5.0,-9.0,-2.0,0.0,-3.0
32334,14.0,14.0,-20.0,27.0,38.0,23.0
53417,28.0,6.0,27.0,20.0,80.0,70.0
15409,16.0,13.0,12.0,10.0,6.0,24.0
21568,140.0,167.0,-107.0,96.0,226.0,194.0
53645,0.0,3.0,2.0,0.0,3.0,0.0
37772,-33.0,12.0,4.0,-7.0,34.0,-8.0
37759,3.0,3.0,1.0,0.0,3.0,3.0
36472,-4.0,1.0,4.0,5.0,6.0,7.0
53643,115.0,106.0,59.0,97.0,142.0,86.0
13364,149.0,185.0,-19.0,96.0,164.0,121.0
